vendor	datatype	count
mt	adt	299
mt	radord	260
mt	radrslt	260
mt	oerpt	251
mt	phaord	239
mt	phainv	233
mt	labrslt	227
mt	mmitem	214
mt	immu	214
smrt	adt	214
mt	mmftp	211
mhub	adt	208
mt	labpoc	204
mhub	radrslt	204
mt	rlabo	199
mt	rlabr	199
mt	pthrslt	196
mhub	labrslt	194
mhub	oerpt	193
mt	elmu	192
smrt	mmitem	190
smrt	multi	190
mt	symu	185
mt	chrg	184
smrt	mmrepl	182
oflx	mmrepl	181
oflx	chrg	180
caps	cmr	180
onbs	adt	180
pyxm	phainv	180
mhub	pthrslt	179
oflx	adt	179
mt	cmr	179
oflx	multi	178
mt	oeord	178
pyxm	adt	178
mids	adt	177
pyxm	phaord	176
labc	rlabr	173
labc	rlabo	168
mids	oerpt	168
bti	elmu	168
hpf	oerpt	167
acud	phainv	166
caps	adt	166
acud	adt	164
hpf	adt	164
hpf	multi	163
bti	labrslt	162
bti	adt	161
ecnt	adt	161
muse	oerpt	161
bti	pthrslt	161
bti	radrslt	160
bti	oerpt	160
bti	phaord	159
bti	radord	159
bti	immu	158
smrt	chrg	152
smrt	mmpar	148
bti	symu	147
mt	radurl	146
tdoc	radrslt	145
tdoc	oerpt	145
tdoc	labrslt	145
tdoc	adt	145
mids	radrslt	144
mt	oewrk	143
smrt	mmasn	142
oflx	mmasn	140
oflx	mmitem	140
oflx	mmpar	138
rals	labpoc	135
tms	oewrk	134
bti	sch	133
muse	adt	132
rals	adt	131
mt	phaproc	131
d123	adt	128
mt	mr	126
d123	oerpt	126
ipl	sch	124
ipl	nuras	124
bti	edm	124
ipl	edm	124
pcpn	adt	124
bti	nuras	123
bti	phaadm	123
ipl	phaadm	122
acud	phaproc	121
cvpc	adt	121
fofr	adt	113
pacs	radord	113
pacs	radrslt	112
muse	chrg	110
bti	eps	106
ipl	eps	104
muse	oeord	101
mt	oeadm	98
cvpc	oeord	96
prcs	labpoc	94
pwrs	radrslt	93
cvpc	chrg	92
medc	adt	88
mt	bedmg	87
imfl	immu	87
qmi	adt	86
ssfl	symu	86
pwrs	radord	85
cvpc	oerpt	85
pnav	adt	85
pacs	radurl	84
cpn	adt	83
cpn	oeadm	83
mids	labrslt	81
imed	adt	81
cpn	oerpt	79
mt	sch	78
elfl	elmu	78
aplo	adt	75
dcep	adt	72
escr	oerpt	72
dcep	oerpt	70
tsys	adt	67
tbtr	adt	66
ecin	adt	66
tsys	labrslt	66
tsys	oerpt	66
aml	rlabr	66
aml	rlabo	66
scrp	oerpt	65
csco	bedmg	65
pacs	adt	58
gecs	adt	58
horz	radrslt	57
ecin	phaord	55
rdoc	adt	54
rdoc	chrg	54
cvpc	imgurl	53
gemm	oerpt	53
horz	radord	53
mt	riurl	51
scrp	adt	51
gemm	adt	50
gecm	adt	50
htch	adt	46
3mdm	adt	45
horz	radurl	45
cmi	adt	44
rspd	adt	44
eltx	elmu	43
horz	adt	42
ipc	adt	41
prcs	adt	41
rdwe	radrslt	41
hhd	adt	40
htch	oeord	39
acud	phaord	39
sstx	symu	37
tsys	radrslt	36
imtx	immu	36
comp	adt	36
emci	adt	35
wexp	adt	35
qust	rlabr	35
endo	oerpt	35
cmre	oerpt	35
qust	rlabo	34
endo	adt	34
escr	adt	33
dee	adt	33
cmre	adt	33
dee	oerpt	33
rdwe	radord	32
fusn	radrslt	31
sen7	phaord	31
sen7	adt	31
sen7	labrslt	31
epoc	labpoc	29
verc	adt	29
epoc	adt	29
nvpc	radord	29
synp	radord	29
nvpc	radrslt	29
synp	radrslt	28
impc	adt	28
spqr	radrslt	27
spqr	radord	27
edix	oerpt	27
verc	oerpt	27
fusn	radord	26
pacs	riurl	26
clar	adt	26
rdtr	adt	26
comp	oeord	26
cmre	imgurl	26
edix	adt	25
multi	adt	24
impc	chrg	24
rxhx	adt	23
ecps	adt	23
clar	oerpt	23
ecps	oerpt	22
fvce	oerpt	22
qmi	oerpt	22
osur	phainv	22
mrs	radord	22
mrs	radrslt	22
aria	adt	22
osur	adt	22
pmed	adt	21
aria	chrg	21
amas	adt	21
caly	adt	21
dypv	adt	21
hms	adt	21
pyxm	mmrepl	21
dypv	labrslt	21
cqi	mmitem	21
osur	phaord	21
dypv	phaord	21
amas	radord	20
amas	radrslt	20
ecww	radrslt	20
ecww	labrslt	20
hpf	mr	19
fvce	adt	19
init	adt	19
intq	adt	19
hms	chrg	19
nrtl	bedmg	19
mdq	oerpt	19
tbtr	oeord	19
ivlk	sch	19
dicr	oerpt	18
mtcs	mstr	18
multi	mstr	17
ecps	oeord	17
trs	adt	17
mdq	adt	17
synp	radurl	17
verc	oeord	16
trs	oerpt	16
imgv	adt	16
rplp	adt	16
none	adt	16
bti	mr	16
imgv	oeord	15
qmi	labrslt	15
rplp	labrslt	15
phy	adt	15
rplp	oerpt	15
rplp	radrslt	15
multi	oerpt	14
mdsl	phainv	14
imgv	oerpt	14
nvcr	adt	14
epic	adt	14
mdsl	adt	14
agil	adt	14
dbmo	mr	14
cpn	labrslt	13
mtcs	adt	13
mrbt	adt	13
lanm	oerpt	13
psys	oerpt	13
trmv	oerpt	13
rxhx	oerpt	12
mdsl	phaord	12
radw	radrslt	12
mdmb	adt	12
psys	adt	12
impc	labrslt	12
mtcs	itshmr	12
mtcs	itsdio	12
mtcs	itsdir	12
imva	immu	11
eltn	elmu	11
elva	elmu	11
imtn	immu	11
obtr	adt	11
vrad	adt	11
pyxs	chrg	11
sscn	chrg	11
logc	adt	11
mtcs	rlabo	11
mtcs	rlabr	11
ssva	symu	11
mrbt	phainv	11
hltc	radrslt	11
hltc	radord	11
mglk	radord	10
rplp	pthrslt	10
gemr	radrslt	10
vrad	radord	10
mtcs	phainv	10
mtcs	phaord	10
aplo	oerpt	10
pmed	oeord	10
anrd	sch	10
vrad	radrslt	10
mtcs	riurl	10
phy	radrslt	10
mcal	adt	10
neod	adt	10
mmin	adt	10
gems	adt	10
trco	adt	10
ava	bedmg	10
swrk	adt	10
mtcs	labpoc	10
mmin	labrslt	10
phy	labrslt	10
mtcs	mmitem	10
pacm	mmrepl	10
qmi	oeadm	10
pa	multi	10
radw	multi	9
sscn	mmrepl	9
neod	labrslt	9
pkp	cmr	9
rpit	adt	9
notf	adt	9
trmv	chrg	9
emap	chrg	9
caly	chrg	9
cths	chrg	9
hlat	adt	9
fmat	adt	9
imag	adt	9
ctc	adt	9
penr	radrslt	9
none	radrslt	9
notf	radrslt	9
ttec	radrslt	9
neod	oerpt	9
none	oerpt	9
ttec	radord	9
notf	radord	9
penr	radord	9
hpf	radrslt	9
imag	radrslt	9
mglk	radrslt	9
gemr	radord	8
pyxm	phaproc	8
mrbt	phaproc	8
notf	oerpt	8
imag	oerpt	8
trmv	oeord	8
imag	oeord	8
coph	oerpt	8
amed	phaord	8
optm	oerpt	8
imag	riurl	8
arup	rlabo	8
ssga	symu	8
arup	rlabr	8
coph	adt	8
mt	abs	8
anrd	adt	8
coph	chrg	8
vdh	adt	8
optm	adt	8
sscn	adt	8
pyxs	adt	8
rpgo	adt	8
multi	dict	8
tcor	labpoc	8
pmed	labrslt	8
pyxs	mmrepl	8
notf	oeord	8
hlat	oeord	7
cvpc	mmrepl	7
hpf	mstr	7
none	mstr	7
sscn	mmitem	7
sscn	mmpar	7
none	labrslt	7
hlat	labrslt	7
escr	itshmr	7
horz	itsdio	7
escr	itsdir	7
horz	itsdir	7
reco	dict	7
dbmo	dict	7
etls	dict	7
imad	dict	7
isas	dict	7
mt	dict	7
elco	elmu	7
imco	immu	7
rlay	adt	7
oep	chrg	7
idxr	chrg	7
dicr	adt	7
lanm	adt	7
optm	radrslt	7
vmax	oerpt	7
imag	oewrk	7
caly	oerpt	7
hths	oerpt	7
optm	pthrslt	7
sftp	phaord	7
ecw	radrslt	7
icis	radrslt	6
elys	radrslt	6
voyg	phaord	6
icis	radord	6
kdhl	oerpt	6
axal	oerpt	6
elys	oerpt	6
horz	riurl	6
epic	rlabr	6
ssla	symu	6
voyg	sch	6
ompt	sch	6
icis	adt	6
htn	adt	6
elys	adt	6
axal	adt	6
imca	immu	6
imut	immu	6
imky	immu	6
elga	elmu	6
icis	labrslt	6
ecw	labrslt	6
elys	labrslt	6
voyg	labrslt	6
sscn	mmasn	6
cpn	oeord	6
verc	multi	5
smrt	mmftp	5
cmps	mmrepl	5
eicu	labrslt	5
elca	elmu	5
elmo	elmu	5
none	elmu	5
imla	immu	5
immo	immu	5
mt	elr	5
escr	itsdio	5
algt	adt	5
emap	adt	5
ecw	adt	5
hths	adt	5
cmps	chrg	5
vmax	adt	5
voyg	adt	5
tchm	adt	5
tcor	adt	5
ssut	symu	5
algt	radurl	5
voyg	radrslt	5
cdsr	oerpt	5
rplp	oeord	5
ecww	oerpt	5
mrbt	phaord	5
pwph	oerpt	5
agfa	radord	5
algt	radord	5
tdoc	phaord	5
rplp	radord	5
voyg	radord	5
agfa	radrslt	5
algt	radrslt	5
mdrx	phaord	4
imag	radord	4
phy	oerpt	4
phlk	oerpt	4
novo	oerpt	4
logc	oerpt	4
ecw	oerpt	4
oimx	radrslt	4
ssmo	symu	4
vris	adt	4
vtrs	adt	4
xcel	adt	4
verc	chrg	4
vris	chrg	4
wexp	chrg	4
ralf	adt	4
sent	adt	4
prev	adt	4
phlk	adt	4
kdhl	adt	4
ccws	adt	4
cmps	adt	4
airs	adt	4
ralf	labpoc	4
init	empiqry	4
mt	empiqry	4
cdsr	imgurl	4
imsc	immu	4
elsc	elmu	4
cmps	mmpar	4
cmps	mmitem	4
vtrs	labrslt	4
sasu	labrslt	3
epic	labrslt	3
nicu	labrslt	3
mtcs	labrslt	3
agil	oeord	3
mids	oeadm	3
hzcd	oeord	3
mids	mstr	3
mt	multi	3
bztl	mstr	3
elnv	elmu	3
hpf	img	3
epic	labord	3
mt	labord	3
pwrs	itsdir	3
pwrs	itsdio	3
accs	adt	3
edm	adt	3
esid	adt	3
intd	adt	3
medl	adt	3
hzcd	adt	3
inft	adt	3
elgp	adt	3
nicu	adt	3
omhb	adt	3
sasu	adt	3
spgm	adt	3
pwph	adt	3
phlk	chrg	3
emca	bill	3
hpf	bill	3
ssnv	symu	3
copa	rlabr	3
paml	rlabo	3
paml	rlabr	3
elgp	sch	3
copa	rlabo	3
cths	oerpt	3
gemr	oerpt	3
hzcd	oerpt	3
omhb	oerpt	3
spgm	oerpt	3
xcel	oerpt	3
gemr	oewrk	3
imga	radord	3
rplp	phaord	3
mt	pthord	3
arad	radrslt	3
radw	radord	3
oimx	radord	3
epic	radrslt	3
asrd	radrslt	3
imga	radrslt	3
iodn	radrslt	2
itel	radrslt	2
bbrh	radrslt	2
hone	radrslt	2
escr	radrslt	2
phyc	radord	2
radc	radord	2
vpnt	radord	2
sfsc	radord	2
stpc	radord	2
vntg	pthord	2
bti	phaproc	2
mtcs	proccode	2
iodn	radord	2
idxr	radord	2
kpai	radord	2
arad	radord	2
mt	orm	2
rdtr	orm	2
mcar	phaord	2
synp	oerpt	2
sasu	oerpt	2
sfsc	oerpt	2
tmhl	oerpt	2
peri	oerpt	2
kndx	oerpt	2
nicu	oerpt	2
drck	oerpt	2
synp	oeord	2
epic	rlabo	2
estx	rlabo	2
synp	riurl	2
agfa	riurl	2
multi	radrslt	2
phyc	radrslt	2
radc	radrslt	2
sfsc	radrslt	2
stpc	radrslt	2
telo	radrslt	2
omhb	rlabr	2
omhb	rlabo	2
estx	rlabr	2
sstn	symu	2
ssnh	symu	2
rpha	symu	2
ssca	symu	2
peri	sch	2
shbg	bill	2
vscm	adt	2
multi	chrg	2
epic	cmr	2
cams	chrg	2
bztl	chrg	2
lees	chrg	2
mtcs	chrg	2
radw	adt	2
synp	adt	2
sfsc	adt	2
nhhd	adt	2
phyc	adt	2
peri	adt	2
frnt	adt	2
glur	adt	2
idxr	adt	2
iodn	adt	2
essc	adt	2
edie	adt	2
eicu	adt	2
drck	adt	2
cprc	adt	2
mtcs	abs	2
ahqa	adt	2
bztl	abs	2
amsc	adt	2
cdnx	adt	2
cdsr	adt	2
bbrh	adt	2
brmd	adt	2
pacs	itsdio	2
rpha	immu	2
gemm	itshmr	2
mdq	itshmr	2
mids	itsdir	2
mids	itshmr	2
bbrh	labrslt	2
bnfr	labrslt	2
elga	elr	2
crme	imgurl	2
imnh	immu	2
imok	immu	2
imid	immu	2
rpha	elmu	2
elnh	elmu	2
elky	elmu	2
cdis	dict	2
mtcs	cmr	2
optm	dict	2
init	mr	2
itel	multi	2
horz	multi	2
novo	oeord	2
iodn	oeord	2
ccws	oeord	2
glur	oeadm	2
none	none	2
oimx	multi	2
kpai	labrslt	2
peri	labrslt	2
fdoh	labrslt	2
lees	mmitem	2
tams	mmitem	1
omni	mmitem	1
tams	mmpar	1
caly	mmrepl	1
prat	labrslt	1
star	labrslt	1
tcor	labrslt	1
trmd	labrslt	1
wexp	labrslt	1
umeg	labrslt	1
game	labrslt	1
hcom	labrslt	1
crbn	labrslt	1
docl	labrslt	1
imob	labrslt	1
iodn	labrslt	1
irnd	labrslt	1
kaiz	labrslt	1
khin	labrslt	1
oais	labrslt	1
onco	labrslt	1
oncu	labrslt	1
lbwk	labrslt	1
mpath	labrslt	1
mprt	labrslt	1
optm	multi	1
pkp	multi	1
mt	none	1
rdwe	multi	1
cdsr	oeord	1
acex	oeord	1
lpti	oeord	1
mpath	oeord	1
nowk	oeord	1
niko	oeord	1
epic	oeord	1
imag	multi	1
cdsr	multi	1
comp	multi	1
docl	multi	1
epic	multi	1
haem	multi	1
hone	multi	1
epic	mstr	1
bti	mstr	1
mpath	mmrepl	1
omni	mmrepl	1
tams	mmrepl	1
none	dict	1
epic	edi	1
hpf	dict	1
ella	elmu	1
elin	elmu	1
elfl	elr	1
elok	elmu	1
imin	immu	1
imks	immu	1
imak	immu	1
niko	imgurl	1
elmo	elr	1
eltx	elr	1
mtcs	img	1
brmd	labrslt	1
clnc	labrslt	1
aroe	labrslt	1
athn	labrslt	1
epic	labpoc	1
none	labpoc	1
mhub	itshmr	1
psys	itshmr	1
pwph	itshmr	1
sfsc	itshmr	1
rdwe	itsdir	1
spqr	itsdir	1
vrad	itsdir	1
zvis	itsdir	1
aplo	itshmr	1
bti	itshmr	1
cvpc	itshmr	1
d123	itshmr	1
dcep	itshmr	1
endo	itshmr	1
galv	insreq	1
mtcs	insreq	1
none	insreq	1
pshl	insreq	1
galv	insrsp	1
mtcs	insrsp	1
none	insrsp	1
pshl	insrsp	1
dino	insto	1
epic	insto	1
caps	instr	1
cpn	instr	1
dino	instr	1
epic	instr	1
agfa	itsdio	1
bti	itsdio	1
ccws	itsdio	1
mrs	itsdio	1
mtcs	immu	1
none	immu	1
rdwe	itsdio	1
spqr	itsdio	1
vrad	itsdio	1
zvis	itsdio	1
agfa	itsdir	1
bti	itsdir	1
mhub	itsdir	1
pacs	itsdir	1
cgcl	adt	1
clnc	adt	1
clnv	adt	1
bztl	adt	1
arie	adt	1
aroe	adt	1
asrd	adt	1
aims	adt	1
optm	abs	1
cpsi	adt	1
crbn	adt	1
crdo	adt	1
crwr	adt	1
ecww	adt	1
ehan	adt	1
evlf	adt	1
expd	adt	1
epat	adt	1
empo	adt	1
irnd	adt	1
itel	adt	1
kaiz	adt	1
khin	adt	1
kndx	adt	1
kpai	adt	1
lits	adt	1
mcar	adt	1
mpath	adt	1
ngag	adt	1
mrc	adt	1
idxp	adt	1
inan	adt	1
imky	adt	1
imob	adt	1
imgn	adt	1
grnr	adt	1
hdd	adt	1
galv	adt	1
gcie	adt	1
pfts	adt	1
phes	adt	1
pkp	adt	1
plth	adt	1
phns	adt	1
prat	adt	1
prml	adt	1
psen	adt	1
ompm	adt	1
oais	adt	1
onco	adt	1
oncu	adt	1
opdr	adt	1
sftm	adt	1
star	adt	1
spqr	adt	1
spgl	adt	1
rgen	adt	1
rinc	adt	1
ptmg	adt	1
qtel	adt	1
mtm	chrg	1
epic	chrg	1
hzcd	chrg	1
gecs	cmr	1
cmi	cmr	1
omni	chrg	1
wpth	adt	1
tmhl	adt	1
trnc	adt	1
umeg	adt	1
temh	bill	1
ibis	bill	1
mprt	bill	1
mt	bill	1
zvis	adt	1
lanm	adtmpm	1
mt	adtmpm	1
aisb	bill	1
atrm	bill	1
plth	sch	1
rlvw	sch	1
umeg	sch	1
oncu	sch	1
ssin	symu	1
bti	vacc	1
elys	vacc	1
epic	vacc	1
imut	vacc	1
hels	rlabr	1
hpf	rlabr	1
lbwk	rlabr	1
lion	rlabr	1
mds	rlabr	1
milm	rlabr	1
opdr	rlabo	1
rml	rlabo	1
rplp	rlabo	1
ecw	rlabr	1
opdr	rlabr	1
mtm	rlabr	1
muse	rlabr	1
none	rlabr	1
galv	sch	1
inan	sch	1
rml	rlabr	1
rplp	rlabr	1
crwr	sch	1
umeg	radrslt	1
unpc	radrslt	1
star	radrslt	1
sasu	radrslt	1
seer	radrslt	1
rinc	radrslt	1
rall	radrslt	1
ompm	radrslt	1
onco	radrslt	1
oais	radrslt	1
nvpc	riurl	1
star	riurl	1
vpnt	radrslt	1
vtrs	radrslt	1
wexp	radrslt	1
bti	ref	1
epic	ref	1
mtm	rlabo	1
lbwk	rlabo	1
lion	rlabo	1
mds	rlabo	1
milm	rlabo	1
hcom	rlabo	1
hels	rlabo	1
ecw	rlabo	1
rgen	oeord	1
tsys	oeord	1
umeg	oeord	1
ccws	oerpt	1
bbrh	oerpt	1
acex	oerpt	1
crbn	oerpt	1
clnv	oerpt	1
niko	oerpt	1
nowk	oerpt	1
oais	oerpt	1
kpai	oerpt	1
mrc	oerpt	1
lpti	oerpt	1
mdas	oerpt	1
idxr	oerpt	1
game	oerpt	1
epic	oerpt	1
khin	oerpt	1
irnd	oerpt	1
kaiz	oerpt	1
phns	oerpt	1
onbs	oerpt	1
onco	oerpt	1
psen	oerpt	1
ptho	oerpt	1
rgen	oerpt	1
wexp	oerpt	1
umeg	oerpt	1
sftm	oerpt	1
spgl	oerpt	1
tdes	oerpt	1
mdmb	phaord	1
umeg	phainv	1
epic	phaord	1
iodn	phaord	1
ipl	phaord	1
mt	pcard	1
epic	phainv	1
mcar	phainv	1
asrd	radord	1
grnr	radord	1
vtrs	pthrslt	1
clar	radord	1
crdo	radord	1
docm	radord	1
drsy	radord	1
egat	radord	1
elys	radord	1
empr	radord	1
epic	radord	1
escr	radord	1
estx	radord	1
frps	radord	1
muse	radord	1
none	radord	1
mhub	radord	1
mids	radord	1
mpath	radord	1
hone	radord	1
itel	radord	1
infi	radord	1
lion	pthord	1
umeg	phaord	1
star	phaord	1
stel	phaord	1
ecww	pthrslt	1
elys	pthrslt	1
kaiz	pthrslt	1
phy	pthrslt	1
prat	pthrslt	1
ptmg	pthrslt	1
mtcs	pthrslt	1
none	pthrslt	1
onco	pthrslt	1
star	radord	1
unpc	radord	1
verc	radord	1
telo	radord	1
vwtr	radord	1
arie	radrslt	1
rall	radord	1
seer	radord	1
rinc	radord	1
ompm	radord	1
oncu	radord	1
estx	radrslt	1
frps	radrslt	1
clar	radrslt	1
crbn	radrslt	1
crdo	radrslt	1
docm	radrslt	1
grnr	radrslt	1
game	radrslt	1
kaiz	radrslt	1
khin	radrslt	1
kpai	radrslt	1
idxr	radrslt	1
infi	radrslt	1
mpath	radrslt	1
mtcs	radrslt	1